epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,18641.5,0.67266,2.17851,1.22488,1.21258,0,0.62683,0.61968,0.62381,0.46903,0.61887,0.607,0.60667,0.42569,0.83244,2.39768,1.29888,1.04433,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,19434.1,0.67052,2.16508,1.2176,1.21062,0,0.62701,0.6213,0.62482,0.46999,0.62199,0.60612,0.60746,0.42595,0.83078,2.3938,1.29679,1.043,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,20228,0.66756,2.1564,1.21674,1.20903,0,0.62624,0.62459,0.62593,0.47156,0.61857,0.61254,0.60899,0.42802,0.82964,2.38985,1.29383,1.04236,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,21031.9,0.66644,2.1563,1.21252,1.20734,0,0.62858,0.62841,0.6276,0.47417,0.62133,0.61456,0.6105,0.42966,0.82786,2.38537,1.2893,1.04029,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,21823.8,0.66803,2.15917,1.20814,1.20897,0,0.63032,0.63184,0.62937,0.47635,0.62493,0.61621,0.61245,0.43126,0.8257,2.38026,1.28435,1.03769,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,22614.3,0.66668,2.15245,1.2058,1.20843,0,0.63518,0.63142,0.63123,0.47815,0.62809,0.61651,0.61448,0.43284,0.82408,2.37569,1.2807,1.03647,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,23405.7,0.66306,2.13399,1.20063,1.20525,0,0.63482,0.63248,0.63273,0.47949,0.62615,0.62074,0.61598,0.43459,0.822,2.37246,1.27689,1.03471,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,24197.9,0.66142,2.13686,1.19737,1.20508,0,0.63029,0.6376,0.63478,0.48131,0.62535,0.6236,0.61829,0.43684,0.81927,2.36863,1.27208,1.03248,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,24989.1,0.6612,2.13554,1.19772,1.20494,0,0.6305,0.63919,0.63725,0.48366,0.62517,0.62432,0.62031,0.43851,0.81879,2.36468,1.26763,1.0316,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,25793.5,0.66107,2.13855,1.19645,1.20417,0,0.63151,0.63827,0.63825,0.48477,0.62693,0.62525,0.62153,0.43973,0.81694,2.35879,1.26313,1.0301,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
